day,price,date,difficulty,num_tranc,activeAddresses
2009-06-06 00:00:00,0.0,2009-06-06,1.0,24.0,28.0
2009-06-08 00:00:00,0.0,2009-06-08,1.0,72.0,82.0
2009-06-10 00:00:00,0.0,2009-06-10,1.0,83.0,82.0
2009-06-12 00:00:00,0.0,2009-06-12,1.0,91.0,86.0
2009-06-14 00:00:00,0.0,2009-06-14,1.0,70.0,72.0
2009-06-16 00:00:00,0.0,2009-06-16,1.0,73.0,71.0
2009-06-18 00:00:00,0.0,2009-06-18,1.0,81.0,80.0
2009-06-20 00:00:00,0.0,2009-06-20,1.0,84.0,78.0
2009-06-22 00:00:00,0.0,2009-06-22,1.0,81.0,137.0
2009-06-24 00:00:00,0.0,2009-06-24,1.0,87.0,100.0
2009-06-26 00:00:00,0.0,2009-06-26,1.0,90.0,90.0
2009-06-28 00:00:00,0.0,2009-06-28,1.0,52.0,48.0
2009-06-30 00:00:00,0.0,2009-06-30,1.0,89.0,89.0
2009-07-02 00:00:00,0.0,2009-07-02,1.0,72.0,85.0
2009-07-04 00:00:00,0.0,2009-07-04,1.0,89.0,89.0
2009-07-06 00:00:00,0.0,2009-07-06,1.0,91.0,84.0
2009-07-08 00:00:00,0.0,2009-07-08,1.0,79.0,74.0
2009-07-10 00:00:00,0.0,2009-07-10,1.0,82.0,81.0
2009-07-12 00:00:00,0.0,2009-07-12,1.0,76.0,77.0
2009-07-14 00:00:00,0.0,2009-07-14,1.0,72.0,69.0
2009-07-16 00:00:00,0.0,2009-07-16,1.0,69.0,71.0
2009-07-18 00:00:00,0.0,2009-07-18,1.0,3.0,4.0
2009-07-20 00:00:00,0.0,2009-07-20,1.0,75.0,192.0
2009-07-22 00:00:00,0.0,2009-07-22,1.0,69.0,60.0
2009-07-24 00:00:00,0.0,2009-07-24,1.0,75.0,73.0
2009-07-26 00:00:00,0.0,2009-07-26,1.0,13.0,21.0
2009-07-28 00:00:00,0.0,2009-07-28,1.0,44.0,41.0
2009-07-30 00:00:00,0.0,2009-07-30,1.0,16.0,17.0
2009-08-01 00:00:00,0.0,2009-08-01,1.0,23.0,28.0
2009-08-03 00:00:00,0.0,2009-08-03,1.0,15.0,12.0
2009-08-05 00:00:00,0.0,2009-08-05,1.0,91.0,87.0
2009-08-07 00:00:00,0.0,2009-08-07,1.0,74.0,192.0
2009-08-09 00:00:00,0.0,2009-08-09,1.0,98.0,101.0
2009-08-11 00:00:00,0.0,2009-08-11,1.0,67.0,70.0
2009-08-13 00:00:00,0.0,2009-08-13,1.0,81.0,85.0
2009-08-15 00:00:00,0.0,2009-08-15,1.0,34.0,26.0
2009-08-17 00:00:00,0.0,2009-08-17,1.0,17.0,17.0
2009-08-19 00:00:00,0.0,2009-08-19,1.0,15.0,18.0
2009-08-21 00:00:00,0.0,2009-08-21,1.0,16.0,14.0
2009-08-23 00:00:00,0.0,2009-08-23,1.0,12.0,15.0
2009-08-25 00:00:00,0.0,2009-08-25,1.0,55.0,50.0
2009-08-27 00:00:00,0.0,2009-08-27,1.0,33.0,29.0
2009-08-29 00:00:00,0.0,2009-08-29,1.0,83.0,78.0
2009-08-31 00:00:00,0.0,2009-08-31,1.0,95.0,93.0
2009-09-02 00:00:00,0.0,2009-09-02,1.0,68.0,66.0
2009-09-04 00:00:00,0.0,2009-09-04,1.0,63.0,64.0
2009-09-06 00:00:00,0.0,2009-09-06,1.0,72.0,68.0
2009-09-08 00:00:00,0.0,2009-09-08,1.0,66.0,69.0
2009-09-10 00:00:00,0.0,2009-09-10,1.0,61.0,67.0
2009-09-12 00:00:00,0.0,2009-09-12,1.0,71.0,69.0
2009-09-14 00:00:00,0.0,2009-09-14,1.0,81.0,74.0
2009-09-16 00:00:00,0.0,2009-09-16,1.0,59.0,74.0
2009-09-18 00:00:00,0.0,2009-09-18,1.0,81.0,78.0
2009-09-20 00:00:00,0.0,2009-09-20,1.0,79.0,78.0
2009-09-22 00:00:00,0.0,2009-09-22,1.0,35.0,66.0
2009-09-24 00:00:00,0.0,2009-09-24,1.0,82.0,97.0
2009-09-26 00:00:00,0.0,2009-09-26,1.0,94.0,100.0
2009-09-28 00:00:00,0.0,2009-09-28,1.0,88.0,85.0
2009-09-30 00:00:00,0.0,2009-09-30,1.0,87.0,85.0
2009-10-02 00:00:00,0.0,2009-10-02,1.0,76.0,83.0
2009-10-04 00:00:00,0.0,2009-10-04,1.0,61.0,53.0
2009-10-06 00:00:00,0.0,2009-10-06,1.0,43.0,58.0
2009-10-08 00:00:00,0.0,2009-10-08,1.0,70.0,70.0
2009-10-10 00:00:00,0.0,2009-10-10,1.0,77.0,77.0
2009-10-12 00:00:00,0.0,2009-10-12,1.0,63.0,132.0
2009-10-14 00:00:00,0.0,2009-10-14,1.0,56.0,69.0
2009-10-16 00:00:00,0.0,2009-10-16,1.0,66.0,141.0
